name,position,team,cost
Ben Casey,FWD,Crystal Palace,4.5
Christantus Uche,FWD,Crystal Palace,5.5
Eddie Nketiah,FWD,Crystal Palace,5.4
Jean-Philippe Mateta,FWD,Crystal Palace,7.5
Jorgen Strand Larsen,FWD,Crystal Palace,6.2
Odsonne Édouard,FWD,Crystal Palace,5.0
Zach Marsh,FWD,Crystal Palace,4.4
Harry Tyrer,GK,Everton,3.9
Jordan Pickford,GK,Everton,5.6
Mark Travers,GK,Everton,4.3
Tom King,GK,Everton,3.9
Adam Aznou,DEF,Everton,4.2
Elijah Campbell,DEF,Everton,3.9
Jake O'Brien,DEF,Everton,4.9
James Tarkowski,DEF,Everton,5.7
Jarrad Branthwaite,DEF,Everton,5.3
Michael Keane,DEF,Everton,4.7
Nathan Patterson,DEF,Everton,4.4
Reece Welch,DEF,Everton,3.8
Roman Dixon,DEF,Everton,3.8
Séamus Coleman,DEF,Everton,4.2
Vitalii Mykolenko,DEF,Everton,4.9
Callum Bates,MID,Everton,4.3
Charly Alcaraz,MID,Everton,5.2
Coby Ebere,MID,Everton,4.4
Dwight McNeil,MID,Everton,5.5
Harrison Armstrong,MID,Everton,4.5
Idrissa Gueye,MID,Everton,5.4
Iliman Ndiaye,MID,Everton,6.2
Isaac Heath,MID,Everton,4.5
Jack Grealish,MID,Everton,6.3
James Garner,MID,Everton,5.2
Jenson Metcalfe,MID,Everton,4.5
Kiernan Dewsbury-Hall,MID,Everton,4.9
Merlin Röhl,MID,Everton,5.0
Tim Iroegbunam,MID,Everton,4.8
Tyler Dibling,MID,Everton,5.3
Tyler Onyango,MID,Everton,4.5
Tyrique George,MID,Everton,4.8
Beto,FWD,Everton,5.0
Braiden Graham,FWD,Everton,4.5
Martin Sherif,FWD,Everton,4.4
Thierno Barry,FWD,Everton,5.7
Youssef Ramalho Chermiti,FWD,Everton,4.9
Alfie McNally,GK,Fulham,4.0
Benjamin Lecomte,GK,Fulham,3.9
Bernd Leno,GK,Fulham,4.9
Steven Benda,GK,Fulham,4.0
Antonee Robinson,DEF,Fulham,4.9
Calvin Bassey,DEF,Fulham,4.4
Issa Diop,DEF,Fulham,4.3
Joachim Andersen,DEF,Fulham,4.5
Jorge Cuenca,DEF,Fulham,4.3
Kenny Tete,DEF,Fulham,4.5
Samuel Amissah,DEF,Fulham,3.8
Timothy Castagne,DEF,Fulham,4.3
Alex Iwobi,MID,Fulham,6.3
Andreas Hoelgebaum Pereira,MID,Fulham,5.3
Emile Smith Rowe,MID,Fulham,5.6
Harrison Reed,MID,Fulham,4.3
Harry Wilson,MID,Fulham,5.9
Josh King,MID,Fulham,4.4
Kevin,MID,Fulham,5.8
Luke Harris,MID,Fulham,4.5
Martial Godo,MID,Fulham,4.5
Oscar Bobb,MID,Fulham,5.1
Ryan Sessegnon,MID,Fulham,5.4
Samuel Chukwueze,MID,Fulham,5.3
Sander Berge,MID,Fulham,4.9
Sasa Lukic,MID,Fulham,4.9
Seth Ridgeon,MID,Fulham,4.5
Tom Cairney,MID,Fulham,4.8
Jonah Kusi-Asare,FWD,Fulham,4.5
Raul Jimenez,FWD,Fulham,6.1
Rodrigo Muniz,FWD,Fulham,5.3
Alex Cairns,GK,Leeds,3.9
Illan Meslier,GK,Leeds,4.1
Karl Darlow,GK,Leeds,3.9
Lucas Perri,GK,Leeds,4.5
Gabriel Gudmundsson,DEF,Leeds,3.8
Isaac Schmidt,DEF,Leeds,4.0
Jaka Bijol,DEF,Leeds,3.9
James Justin,DEF,Leeds,3.9
Jayden Bogle,DEF,Leeds,4.4
Joe Rodon,DEF,Leeds,3.9
Pascal Struijk,DEF,Leeds,4.3
Sam Byram,DEF,Leeds,3.8
Sebastiaan Bornauw,DEF,Leeds,3.8
Anton Stach,MID,Leeds,4.7
Ao Tanaka,MID,Leeds,4.8
Brenden Aaronson,MID,Leeds,5.4
Charlie Crew,MID,Leeds,4.5
Daniel James,MID,Leeds,5.2
Darko Gyabi,MID,Leeds,4.5
Ethan Ampadu,MID,Leeds,4.9
Facundo Buonanotte,MID,Leeds,4.6
Ilia Gruev,MID,Leeds,4.7
Jack Harrison,MID,Leeds,5.1
Joe Gelhardt,MID,Leeds,4.5
Largie Ramazani,MID,Leeds,4.9
Noah Okafor,MID,Leeds,5.5
Sam Chambers,MID,Leeds,4.4
