Season,Gameweek,Source,Team,Player
2026-2027,1,AllAboutFPL,Man Utd,Amad Diallo
2026-2027,1,AllAboutFPL,Man Utd,Bruno Fernandes
2026-2027,1,AllAboutFPL,Man Utd,Matheus Cunha
2026-2027,1,AllAboutFPL,Man Utd,Bryan Mbeumo
2026-2027,1,AllAboutFPL,Newcastle,Lukás Hornícek
2026-2027,1,AllAboutFPL,Newcastle,Amar Dedic
2026-2027,1,AllAboutFPL,Newcastle,Malick Thiaw
2026-2027,1,AllAboutFPL,Newcastle,Dan Burn
2026-2027,1,AllAboutFPL,Newcastle,Lewis Hall
2026-2027,1,AllAboutFPL,Newcastle,Sean Steur
2026-2027,1,AllAboutFPL,Newcastle,Aladji Bamba
2026-2027,1,AllAboutFPL,Newcastle,Anthony Elanga
2026-2027,1,AllAboutFPL,Newcastle,Nick Woltemade
2026-2027,1,AllAboutFPL,Newcastle,Bazoumana Touré
2026-2027,1,AllAboutFPL,Newcastle,Yoane Wissa
2026-2027,1,AllAboutFPL,Nott'm Forest,Matz Sels
2026-2027,1,AllAboutFPL,Nott'm Forest,Murillo dos Santos
2026-2027,1,AllAboutFPL,Nott'm Forest,Nikola Milenkovic
2026-2027,1,AllAboutFPL,Nott'm Forest,Ousmane Diomande
2026-2027,1,AllAboutFPL,Nott'm Forest,Ola Aina
2026-2027,1,AllAboutFPL,Nott'm Forest,Ibrahim Sangare
2026-2027,1,AllAboutFPL,Nott'm Forest,James McAtee
2026-2027,1,AllAboutFPL,Nott'm Forest,Neco Williams
2026-2027,1,AllAboutFPL,Nott'm Forest,Dan Ndoye
2026-2027,1,AllAboutFPL,Nott'm Forest,Gabriel Jesus
2026-2027,1,AllAboutFPL,Nott'm Forest,Morgan Gibbs-White
2026-2027,1,AllAboutFPL,Spurs,Antonín Kinský
2026-2027,1,AllAboutFPL,Spurs,Archie Gray
2026-2027,1,AllAboutFPL,Spurs,Jan Paul van Hecke
2026-2027,1,AllAboutFPL,Spurs,Marcos Senesi
2026-2027,1,AllAboutFPL,Spurs,Andrew Robertson
2026-2027,1,AllAboutFPL,Spurs,Sandro Tonali
2026-2027,1,AllAboutFPL,Spurs,Mateus Fernandes
2026-2027,1,AllAboutFPL,Spurs,Mikey Moore
2026-2027,1,AllAboutFPL,Spurs,Conor Gallagher
2026-2027,1,AllAboutFPL,Spurs,Mathys Tel
2026-2027,1,AllAboutFPL,Spurs,Richarlison
2026-2027,1,AllAboutFPL,Sunderland,Robin Roefs
2026-2027,1,AllAboutFPL,Sunderland,Nordi Mukiele
2026-2027,1,AllAboutFPL,Sunderland,Dan Ballard
2026-2027,1,AllAboutFPL,Sunderland,Luke O'Nien
2026-2027,1,AllAboutFPL,Sunderland,Reinildo Mandava
2026-2027,1,AllAboutFPL,Sunderland,Granit Xhaka
2026-2027,1,AllAboutFPL,Sunderland,Noah Sadiki
2026-2027,1,AllAboutFPL,Sunderland,Trai Hume
2026-2027,1,AllAboutFPL,Sunderland,Enzo Le Fee
