Season,home_team,away_team,home_win_odds,away_win_odds,home_title_odds,away_title_odds,home_relegation_odds,away_relegation_odds,home_top_6_odds,away_top_6_odds,Gameweek,draw_odds,home_clean_sheet_odds,home_over_1.5_odds,home_over_3.5_odds,away_clean_sheet_odds,away_over_1.5_odds,away_over_3.5_odds
2025-2026,Nott'm Forest,Crystal Palace,1.95,3.9,1405.761904761905,1232.818181818182,6.885416666666667,7.854166666666667,99.86363636363636,43.0,,,,,,,,
2025-2026,Aston Villa,Brentford,2.1,3.5,15.41666666666667,955.3478260869564,637.1111111111111,126.2173913043478,1.024545454545455,6.287727272727272,,,,,,,,
2025-2026,Man Utd,Fulham,1.57,5.0,47.66666666666666,924.9130434782608,262.3636363636364,123.6086956521739,1.261363636363636,7.545454545454546,,,,,,,,
2025-2026,Spurs,Man City,4.5,1.72,1228.272727272727,3.884583333333333,12.79166666666667,262.3636363636364,33.0,1.014444444444444,,,,,,,,
2025-2026,Sunderland,Burnley,1.75,5.0,978.2727272727273,2405.761904761905,52.08695652173913,1.03125,16.31818181818182,743.8571428571429,,,,,,,,
2025-2026,Leeds,Nott'm Forest,2.3,3.2,1296.454545454545,1405.761904761905,7.645833333333333,6.885416666666667,58.72727272727273,99.86363636363636,,,,,,,,
2025-2026,Man Utd,Spurs,1.66,4.75,47.66666666666666,1228.272727272727,262.3636363636364,12.79166666666667,1.261363636363636,33.0,,,,,,,,
2025-2026,Burnley,West Ham,3.0,2.37,2405.761904761905,2126.0,1.03125,1.45375,743.8571428571429,397.4285714285714,,,,,,,,
2025-2026,Wolves,Chelsea,4.75,1.66,2526.0,144.125,1.012272727272727,401.0,690.2857142857143,1.311818181818182,,,,,,,,
2025-2026,Bournemouth,Aston Villa,2.8,2.4,1218.391304347826,15.41666666666667,33.41666666666666,637.1111111111111,21.68181818181818,1.024545454545455,,,,,,,,
2025-2026,Fulham,Everton,2.05,3.8,924.9130434782608,1109.695652173913,123.6086956521739,83.34782608695652,7.545454545454546,10.52272727272727,,,,,,,,
2025-2026,Arsenal,Sunderland,1.22,14.0,1.365,978.2727272727273,1716.0,52.08695652173913,1.0,16.31818181818182,,,,,,,,
2025-2026,Newcastle,Brentford,1.8,4.1,873.7272727272727,955.3478260869564,210.0909090909091,126.2173913043478,3.17,6.287727272727272,,,,,,,,
2025-2026,Brighton,Crystal Palace,1.8,4.2,976.0,1232.818181818182,115.1739130434783,7.854166666666667,7.159090909090909,43.0,,,,,,,,
2025-2026,Liverpool,Man City,2.45,2.62,182.25,3.884583333333333,411.2272727272727,262.3636363636364,1.225454545454545,1.014444444444444,,,,,,,,
2025-2026,Chelsea,Leeds,1.5,6.0,140.1666666666667,1948.368421052632,482.8181818181818,8.673913043478262,1.136818181818182,82.14285714285714,,,,,,,,
2025-2026,Spurs,Newcastle,3.1,2.2,2056.555555555556,1096.238095238095,10.26086956521739,192.5,56.90909090909091,10.44318181818182,,,,,,,,
2025-2026,Everton,Bournemouth,2.4,2.87,1211.526315789474,1553.631578947368,142.1363636363636,68.54545454545455,14.18181818181818,20.18181818181818,,,,,,,,
2025-2026,West Ham,Man Utd,4.33,1.72,2167.666666666667,41.16666666666666,1.593478260869565,395.4444444444445,361.0,1.054761904761905,,,,,,,,
2025-2026,Man City,Fulham,1.33,8.5,4.972083333333333,1264.157894736842,482.8181818181818,112.0,1.008571428571428,18.45454545454545,,,,,,,,
2025-2026,Nott'm Forest,Wolves,1.66,5.0,1973.222222222222,3251.0,4.343478260869565,1.000833333333333,143.1428571428571,379.5714285714286,,,,,,,,
2025-2026,Aston Villa,Brighton,1.95,3.8,102.7083333333333,1348.222222222222,517.6666666666666,21.8695652173913,1.052857142857143,25.72727272727273,,,,,,,,
2025-2026,Crystal Palace,Burnley,1.5,6.5,1784.333333333333,2424.076923076923,18.52173913043478,1.007222222222222,37.47619047619047,457.25,,,,,,,,
2025-2026,Sunderland,Liverpool,4.6,1.75,1501.0,283.2916666666667,99.08695652173913,438.5,22.04761904761905,1.163181818181818,,,,,,,,
2025-2026,Brentford,Arsenal,4.75,1.66,930.5454545454544,1.196521739130434,246.2380952380952,731.0,3.684545454545454,1.0,,,,,,,,
2025-2026,Aston Villa,Leeds,1.75,4.5,102.7083333333333,1948.368421052632,517.6666666666666,8.673913043478262,1.052857142857143,82.14285714285714,,,,,,,,
2025-2026,Brentford,Brighton,2.15,3.2,930.5454545454544,1348.222222222222,246.2380952380952,21.8695652173913,3.684545454545454,25.72727272727273,,,,,,,,
2025-2026,Chelsea,Burnley,1.22,12.0,140.1666666666667,2424.076923076923,482.8181818181818,1.007222222222222,1.136818181818182,457.25,,,,,,,,
2025-2026,West Ham,Bournemouth,2.5,2.62,2167.666666666667,1553.631578947368,1.593478260869565,68.54545454545455,361.0,20.18181818181818,,,,,,,,
2025-2026,Man City,Newcastle,1.47,6.0,4.972083333333333,1096.238095238095,482.8181818181818,192.5,1.008571428571428,10.44318181818182,,,,,,,,
2025-2026,Crystal Palace,Wolves,1.61,5.5,1784.333333333333,3251.0,18.52173913043478,1.000833333333333,37.47619047619047,379.5714285714286,,,,,,,,
2025-2026,Nott'm Forest,Liverpool,4.2,1.8,1973.222222222222,283.2916666666667,4.343478260869565,438.5,143.1428571428571,1.163181818181818,,,,,,,,
2025-2026,Sunderland,Fulham,2.7,2.7,1501.0,1264.157894736842,99.08695652173913,112.0,22.04761904761905,18.45454545454545,,,,,,,,
2025-2026,Spurs,Arsenal,5.5,1.55,2056.555555555556,1.196521739130434,10.26086956521739,731.0,56.90909090909091,1.0,,,,,,,,
2025-2026,Everton,Man Utd,3.7,1.9,1211.526315789474,41.16666666666666,142.1363636363636,395.4444444444445,14.18181818181818,1.054761904761905,,,,,,,,
