Team,Gameweek,Opponent,Win,Opponent Win,Diff,Venue,F1 Score 1+,F1 Assist,F1 Yellow Card,F1 Clean Sheet,F1 Concede 2+ Goals,F1 Concede 4+ Goals,F1 3+ Saves,F1 6+ Saves
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,0.19047619,0.119047619,0.19047619,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,#N/A,#N/A,#N/A,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,#N/A,#N/A,#N/A,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,0.146520147,0.095238095,0.293040293,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,0.136054422,0.073260073,0.36350418,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,#N/A,#N/A,#N/A,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,0.126984127,0.105820106,0.238095238,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,#N/A,#N/A,#N/A,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,#N/A,#N/A,#N/A,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,#N/A,#N/A,#N/A,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,0.095238095,0.086580087,0.253968254,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,0.253968254,0.063492063,0.253968254,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,#N/A,#N/A,#N/A,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,#N/A,#N/A,#N/A,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Bournemouth,GW1,Liverpool,0.11,0.75,-0.64,A,0.307219662,0.086580087,0.293040293,0.074074074,0.732217573,0.290393013,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,#N/A,#N/A,0.238095238,0.25,0.422572178,0.074074074,0.680272109,0.158730159
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,#N/A,#N/A,0.158730159,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,#N/A,#N/A,0.126984127,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,#N/A,#N/A,0.158730159,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,#N/A,#N/A,#N/A,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,0.073260073,0.045351474,0.272108844,0.25,0.422572178,0.074074074,#N/A,#N/A
